Area,Item,Year,Area_Harvested,Yield
China,Grapes,2014,770101.0,15339.8
China,Grapes,2015,802144.0,16517.7
China,Grapes,2016,724786.0,17534.9
China,Grapes,2017,709378.0,18573.3
China,Grapes,2018,727885.0,18910.4
China,Grapes,2019,745907.0,19149.9
China,Grapes,2020,713472.0,20166.3
China,Grapes,2021,704017.0,21402.8
China,Grapes,2022,707492.0,21828.4
China,Grapes,2023,729420.0,22251.4
China,Grapes,2024,773047.0,21844.7
China,"Mangoes, guavas and mangosteens",1961,30478.0,6413.0
China,"Mangoes, guavas and mangosteens",1962,30506.0,5831.1
China,"Mangoes, guavas and mangosteens",1963,30589.0,6155.3
China,"Mangoes, guavas and mangosteens",1964,30614.0,5790.5
China,"Mangoes, guavas and mangosteens",1965,30710.0,6411.5
China,"Mangoes, guavas and mangosteens",1966,40868.0,4537.4
China,"Mangoes, guavas and mangosteens",1967,40060.0,4859.1
China,"Mangoes, guavas and mangosteens",1968,48099.0,3902.3
China,"Mangoes, guavas and mangosteens",1969,44235.0,4228.4
China,"Mangoes, guavas and mangosteens",1970,50641.0,3970.9
China,"Mangoes, guavas and mangosteens",1971,52054.0,4120.1
China,"Mangoes, guavas and mangosteens",1972,46474.0,5019.5
China,"Mangoes, guavas and mangosteens",1973,44011.0,6189.7
China,"Mangoes, guavas and mangosteens",1974,58535.0,4781.7
China,"Mangoes, guavas and mangosteens",1975,56376.0,4315.5
China,"Mangoes, guavas and mangosteens",1976,61943.0,4346.1
China,"Mangoes, guavas and mangosteens",1977,58057.0,4175.5
China,"Mangoes, guavas and mangosteens",1978,59879.0,4120.5
China,"Mangoes, guavas and mangosteens",1979,45106.0,5881.8
China,"Mangoes, guavas and mangosteens",1980,47104.0,5986.5
China,"Mangoes, guavas and mangosteens",1981,47438.0,6711.3
China,"Mangoes, guavas and mangosteens",1982,56256.0,5743.9
China,"Mangoes, guavas and mangosteens",1983,58070.0,5452.4
China,"Mangoes, guavas and mangosteens",1984,68619.0,5551.5
China,"Mangoes, guavas and mangosteens",1985,66128.0,5769.5
China,"Mangoes, guavas and mangosteens",1986,69642.0,6108.5
China,"Mangoes, guavas and mangosteens",1987,79658.0,7074.1
China,"Mangoes, guavas and mangosteens",1988,91978.0,6822.8
China,"Mangoes, guavas and mangosteens",1989,97004.0,6661.5
China,"Mangoes, guavas and mangosteens",1990,112326.0,8124.0
China,"Mangoes, guavas and mangosteens",1991,117141.0,9260.0
China,"Mangoes, guavas and mangosteens",1992,147541.0,7617.1
China,"Mangoes, guavas and mangosteens",1993,163202.0,8454.2
China,"Mangoes, guavas and mangosteens",1994,190751.0,8500.6
China,"Mangoes, guavas and mangosteens",1995,286061.0,7017.9
China,"Mangoes, guavas and mangosteens",1996,319485.0,6492.3
China,"Mangoes, guavas and mangosteens",1997,313100.0,7696.5
China,"Mangoes, guavas and mangosteens",1998,398939.0,6420.8
China,"Mangoes, guavas and mangosteens",1999,418700.0,7468.2
China,"Mangoes, guavas and mangosteens",2000,478941.0,6703.7
China,"Mangoes, guavas and mangosteens",2001,388564.0,8423.0
China,"Mangoes, guavas and mangosteens",2002,394010.0,8916.9
China,"Mangoes, guavas and mangosteens",2003,408905.0,8731.9
China,"Mangoes, guavas and mangosteens",2004,418577.0,9179.2
China,"Mangoes, guavas and mangosteens",2005,432868.0,9818.2
China,"Mangoes, guavas and mangosteens",2006,435633.0,9391.7
China,"Mangoes, guavas and mangosteens",2007,442836.0,8389.8
China,"Mangoes, guavas and mangosteens",2008,407977.0,8643.9
China,"Mangoes, guavas and mangosteens",2009,393220.0,8473.5
China,"Mangoes, guavas and mangosteens",2010,379489.0,8374.9
China,"Mangoes, guavas and mangosteens",2011,366612.0,8389.7
China,"Mangoes, guavas and mangosteens",2012,351733.0,8251.2
China,"Mangoes, guavas and mangosteens",2013,358224.0,9157.5
China,"Mangoes, guavas and mangosteens",2014,309458.0,8675.8
China,"Mangoes, guavas and mangosteens",2015,325822.0,9117.1
China,"Mangoes, guavas and mangosteens",2016,332840.0,9110.4
China,"Mangoes, guavas and mangosteens",2017,342277.0,9284.5
China,"Mangoes, guavas and mangosteens",2018,350218.0,9416.4
China,"Mangoes, guavas and mangosteens",2019,355631.0,9700.5
China,"Mangoes, guavas and mangosteens",2020,376061.0,10555.6
China,"Mangoes, guavas and mangosteens",2021,386165.0,10259.0
China,"Mangoes, guavas and mangosteens",2022,397119.0,9853.1
China,"Mangoes, guavas and mangosteens",2023,405343.0,9961.8
China,"Mangoes, guavas and mangosteens",2024,419628.0,10109.3
